Type,Token,Log(Probability)
Positive,precedes,-16.4340770568
Positive,laboratory,-16.6971114626
Positive,truman,-12.4954776015
Positive,tricked,-17.4340770568
Positive,message,-12.7522530168
Positive,whip,-17.0190395575
Positive,drove,-16.6971114626
Positive,oprah,-16.4340770568
Positive,unholy,-17.4340770568
Positive,smirk,-16.4340770568
Positive,freeze,-16.2116846355
Positive,mason,-18.0190395575
Positive,rd,-16.4340770568
Positive,re,-16.4340770568
Positive,encourage,-16.6971114626
Positive,novikov137,-16.4340770568
Positive,foundation,-16.2116846355
Positive,clarence,-16.2116846355
Positive,assured,-15.1121489619
Positive,earths,-17.0190395575
Positive,dracula,-15.1121489619
Positive,threatened,-16.2116846355
Positive,fugitive,-15.5596079389
Positive,assures,-17.4340770568
Positive,necessarily,-14.4340770568
Positive,overacting,-17.0190395575
Positive,mobsters,-15.8491145561
Positive,universally,-17.4340770568
Positive,molded,-16.4340770568
Positive,enormous,-15.2116846355
Positive,bates,-15.0190395575
Positive,exposing,-16.4340770568
Positive,shelves,-15.8491145561
Positive,heading,-15.4340770568
Positive,shelved,-16.6971114626
Positive,shipped,-17.0190395575
Positive,disturbed,-15.5596079389
Positive,tempting,-17.0190395575
Positive,1970s,-14.2641520554
Positive,kingdom,-15.4340770568
Positive,clothes,-14.5596079389
Positive,chronic,-16.6971114626
Positive,caught,-12.9746454382
Positive,nigel,-15.2116846355
Positive,disfigured,-17.0190395575
Positive,channels,-17.0190395575
Positive,wash,-17.4340770568
Positive,spinning,-16.2116846355
Positive,millers,-16.4340770568
Positive,clarity,-15.8491145561
Positive,sutherland,-15.3185998394
Positive,bitten,-16.2116846355
Positive,olds,-17.0190395575
Positive,basketball,-15.2116846355
Positive,service,-14.3751833678
Positive,similarly,-15.4340770568
Positive,engagement,-17.0190395575
Positive,needed,-13.8095861919
Positive,theatrically,-16.6971114626
Positive,master,-12.6096486214
Positive,listed,-18.0190395575
Positive,gilbert,-15.1121489619
Positive,legs,-14.8491145561
Positive,bitter,-14.0190395575
Positive,ranging,-15.6971114626
Positive,listen,-14.6971114626
Positive,rewards,-18.0190395575
Positive,predictably,-16.2116846355
Positive,misha,-17.0190395575
Positive,wisdom,-15.6971114626
Positive,predictable,-13.3751833678
Positive,evil,-11.6527173433
Positive,zany,-16.4340770568
Positive,crawl,-17.4340770568
Positive,positively,-16.4340770568
Positive,kingsleys,-18.0190395575
Positive,ahmed,-17.4340770568
Positive,peril,-17.4340770568
Positive,showed,-14.8491145561
Positive,pantoliano,-16.2116846355
Positive,outlaw,-17.4340770568
Positive,tree,-15.4340770568
Positive,second,-11.7616517148
Positive,shackleton,-16.0190395575
Positive,nations,-15.8491145561
Positive,shower,-16.0190395575
Positive,idle,-16.0190395575
Positive,sheen,-15.5596079389
Positive,profitable,-16.0190395575
Positive,feeling,-12.4954776015
Positive,seduced,-16.6971114626
Positive,acclaim,-15.6971114626
Positive,groaning,-17.4340770568
Positive,longs,-17.0190395575
Positive,boston,-15.5596079389
Positive,craven,-14.2641520554
Positive,zetajones,-17.4340770568
Positive,corny,-15.3185998394
Positive,alive,-13.08830222
Positive,dozen,-14.6267221348
Positive,affairs,-15.5596079389
Positive,cesar,-18.0190395575
Positive,wholesome,-16.2116846355
Positive,courier,-16.4340770568
Positive,cronenberg,-15.5596079389
Positive,kaye,-15.6971114626
Positive,responsible,-14.0190395575
Positive,eagerly,-16.6971114626
Positive,metallic,-18.0190395575
Positive,connelly,-16.2116846355
Positive,recommended,-15.4340770568
Positive,causing,-16.0190395575
Positive,absorbed,-16.0190395575
Positive,amusing,-13.4644507059
Positive,doors,-14.2641520554
Positive,season,-13.9746454382
Positive,orphaned,-17.0190395575
Positive,reelection,-18.0190395575
Positive,committing,-16.2116846355
Positive,shall,-14.2116846355
Positive,thrilled,-15.8491145561
Positive,screwing,-17.4340770568
Positive,object,-15.1121489619
Positive,cinematic,-13.2641520554
Positive,victoria,-16.4340770568
Positive,disjointed,-16.2116846355
Positive,flashback,-14.5596079389
Positive,mouth,-13.6614875529
Positive,addict,-17.0190395575
Positive,letter,-15.4340770568
Positive,entry,-15.2116846355
Positive,thriller,-12.5433061266
Positive,morality,-15.5596079389
Positive,singer,-13.041759634
Positive,episode,-13.7711120441
Positive,cops,-13.6971114626
Positive,cams,-16.2116846355
Positive,professor,-14.2641520554
Positive,camp,-13.4340770568
Positive,tech,-17.0190395575
Positive,arlo,-16.6971114626
Positive,detriment,-18.0190395575
Positive,julies,-17.4340770568
Positive,mating,-18.0190395575
Positive,scream,-12.041759634
Positive,came,-12.8095861919
Positive,marvel,-15.8491145561
Positive,fonda,-14.4340770568
Positive,saying,-12.9315767163
Positive,mustsee,-15.6971114626
Positive,bomb,-14.9315767163
Positive,insects,-15.5596079389
Positive,meetings,-16.4340770568
Positive,bonnie,-15.2116846355
Positive,nominated,-15.2116846355
Positive,hillbillies,-17.4340770568
Positive,gauge,-15.8491145561
Positive,participate,-16.6971114626
Positive,lethal,-15.6971114626
Positive,tempted,-16.6971114626
Positive,devlin,-18.0190395575
Positive,thai,-15.8491145561
Positive,caper,-16.4340770568
Positive,parodies,-15.5596079389
Positive,touches,-13.8897565406
Positive,louisa,-16.2116846355
Positive,louise,-16.0190395575
Positive,quaint,-15.6971114626
Positive,cousins,-15.4340770568
Positive,bust,-16.0190395575
Positive,mens,-17.0190395575
Positive,rico,-14.1121489619
Positive,theme,-13.0190395575
Positive,bliss,-17.0190395575
Positive,rick,-14.6267221348
Positive,rich,-12.4191267153
Positive,rice,-15.3185998394
Positive,mena,-17.4340770568
Positive,plate,-16.4340770568
Positive,ludicrous,-17.4340770568
Positive,strip,-15.6971114626
Positive,godzilla,-15.6971114626
Positive,hoggett,-16.6971114626
Positive,foremost,-15.5596079389
Positive,platt,-15.0190395575
Positive,sciorra,-17.0190395575
Positive,reversal,-17.0190395575
Positive,altogether,-15.2116846355
Positive,relish,-15.3185998394
Positive,contributes,-15.8491145561
Positive,greens,-17.4340770568
Positive,nicely,-13.2641520554
Positive,maverick,-16.6971114626
Positive,coles,-16.4340770568
Positive,patch,-15.4340770568
Positive,greene,-16.4340770568
Positive,openly,-16.2116846355
Positive,piggy,-16.6971114626
Positive,release,-12.4491839492
Positive,hobbes,-16.0190395575
Positive,respond,-16.6971114626
Positive,blew,-16.2116846355
Positive,mandatory,-16.6971114626
Positive,disaster,-13.5271864612
Positive,fair,-14.0190395575
Positive,sensitivity,-16.6971114626
Positive,deemed,-15.8491145561
Positive,unexpectedly,-15.5596079389
Positive,goodnight,-16.4340770568
Positive,sparkling,-16.6971114626
Positive,result,-12.2246236912
Positive,fail,-14.4340770568
Positive,hammer,-17.4340770568
Positive,best,-9.63102227219
Positive,manson,-17.4340770568
Positive,ambitions,-15.3185998394
Positive,lots,-13.291119103
Positive,rings,-15.1121489619
Positive,pressures,-16.4340770568
Positive,score,-12.4191267153
Positive,humankind,-16.6971114626
Positive,melissa,-18.0190395575
Positive,ira,-17.4340770568
Positive,pirate,-17.4340770568
Positive,skimpy,-18.0190395575
Positive,preserve,-16.6971114626
Positive,letting,-14.4954776015
Positive,screwball,-17.4340770568
Positive,never,-9.9079038873
Positive,parallels,-15.0190395575
Positive,nature,-12.4191267153
Positive,rolled,-15.6971114626
Positive,extent,-15.3185998394
Positive,debt,-15.1121489619
Positive,roller,-16.6971114626
Positive,pity,-15.3185998394
Positive,outcome,-15.1121489619
Positive,sacrificing,-15.3185998394
Positive,brown,-13.08830222
Positive,country,-12.6096486214
Positive,conclusions,-16.6971114626
Positive,adventures,-14.2641520554
Positive,edgar,-16.0190395575
Positive,planned,-15.1121489619
Positive,marrying,-15.3185998394
Positive,installments,-15.8491145561
Positive,dora,-14.8491145561
Positive,argue,-14.9315767163
Positive,adapted,-14.9315767163
Positive,asked,-14.0190395575
Positive,obscenity,-16.6971114626
Positive,elfman,-15.4340770568
Positive,vain,-17.0190395575
Positive,rednecks,-16.6971114626
Positive,kurosawa,-15.8491145561
Positive,canyon,-18.0190395575
Positive,greenleaf,-16.4340770568
Positive,retelling,-17.0190395575
Positive,pregnancy,-18.0190395575
Positive,blonde,-15.1121489619
Positive,billing,-16.6971114626
Positive,shouting,-15.6971114626
Positive,union,-15.6971114626
Positive,bothers,-17.0190395575
Positive,much,-9.35015457327
Positive,privilege,-17.0190395575
Positive,fry,-17.0190395575
Positive,adroitly,-16.4340770568
Positive,incompetent,-17.4340770568
Positive,dixon,-16.0190395575
Positive,life,-9.39881973203
Positive,retrospect,-16.4340770568
Positive,eastern,-16.2116846355
Positive,arkin,-17.0190395575
Positive,courtney,-15.1121489619
Positive,worker,-14.3185998394
Positive,irving,-16.0190395575
Positive,filmmaker,-13.9315767163
Positive,facetoface,-16.6971114626
Positive,dave,-15.0190395575
Positive,substance,-14.2116846355
Positive,child,-12.1861495434
Positive,1991s,-16.6971114626
Positive,spin,-15.0190395575
Positive,chill,-16.0190395575
Positive,gritty,-15.4340770568
Positive,adaptations,-16.2116846355
Positive,sinise,-16.0190395575
Positive,employ,-15.8491145561
Positive,slam,-18.0190395575
Positive,appeals,-16.2116846355
Positive,detmer,-17.4340770568
Positive,flooding,-17.0190395575
Positive,k,-15.0190395575
Positive,remembering,-16.4340770568
Positive,ridiculously,-16.0190395575
Positive,familial,-16.4340770568
Positive,surprises,-13.8897565406
Positive,played,-10.7290207106
Positive,plotlines,-17.0190395575
Positive,weirdness,-16.0190395575
Positive,letdown,-15.6971114626
Positive,taunts,-16.6971114626
Positive,elicit,-17.0190395575
Positive,eighteen,-16.6971114626
Positive,anticipating,-16.4340770568
Positive,madonna,-17.0190395575
Positive,shift,-16.4340770568
Positive,trusted,-16.2116846355
Positive,hong,-13.6267221348
Positive,credit,-12.9105151008
Positive,things,-10.5969747914
Positive,format,-15.4340770568
Positive,rebellion,-16.6971114626
Positive,split,-15.0190395575
Positive,babies,-16.4340770568
Positive,zoolander,-16.4340770568
Positive,principals,-16.0190395575
Positive,kasdan,-15.8491145561
Positive,european,-15.3185998394
Positive,fairly,-13.1363965082
Positive,siskel,-16.6971114626
Positive,effortlessly,-14.9315767163
Positive,inadvertently,-16.6971114626
Positive,tops,-16.4340770568
Positive,toback,-16.4340770568
Positive,boiler,-14.4954776015
Positive,ownership,-16.6971114626
Positive,striving,-16.4340770568
Positive,tuna,-18.0190395575
Positive,tune,-15.3185998394
Positive,lucas,-13.1363965082
Positive,intrusion,-17.0190395575
Positive,academic,-16.4340770568
Positive,simulated,-16.6971114626
Positive,echoes,-15.6971114626
Positive,corporate,-15.6971114626
Positive,technicolor,-16.4340770568
Positive,eroticism,-17.0190395575
Positive,opinions,-16.6971114626
Positive,gigolo,-15.8491145561
Positive,sheens,-17.0190395575
Positive,sleeps,-16.4340770568
Positive,golden,-14.3185998394
Positive,sleepy,-14.3185998394
Positive,terrorist,-14.1121489619
Positive,disguise,-16.2116846355
Positive,financially,-16.0190395575
Positive,plight,-15.4340770568
Positive,credited,-16.6971114626
Positive,portrayed,-13.2116846355
Positive,succeeding,-16.6971114626
Positive,previous,-12.6267221348
Positive,orgies,-17.4340770568
Positive,spectacles,-17.0190395575
Positive,hal,-18.0190395575
Positive,ham,-17.0190395575
Positive,han,-15.6971114626
Positive,ease,-14.6267221348
Positive,had,-9.82428270311
Positive,emphasis,-15.3185998394
Positive,thoughtprovoking,-15.1121489619
Positive,beloved,-13.6267221348
Positive,prison,-12.6971114626
Positive,falter,-16.4340770568
Positive,has,-7.99805961863
Positive,hat,-15.5596079389
Positive,casually,-16.2116846355
Positive,survival,-16.2116846355
Positive,posed,-17.0190395575
Positive,possible,-12.3325390304
Positive,possibly,-13.2116846355
Positive,otherworldly,-17.4340770568
Positive,birth,-14.6267221348
Positive,shadow,-15.1121489619
Positive,unique,-12.9966717445
Positive,vigilante,-17.0190395575
Positive,tolerable,-17.4340770568
Positive,occurring,-17.0190395575
Positive,desire,-13.8897565406
Positive,brought,-12.8292149987
Positive,paraphrase,-17.0190395575
Positive,bobby,-13.8491145561
Positive,alice,-13.9746454382
Positive,squandered,-18.0190395575
Positive,steps,-14.6971114626
Positive,prologue,-14.9315767163
Positive,sebastian,-17.0190395575
Positive,unabashedly,-18.0190395575
Positive,attorney,-14.6267221348
Positive,sordid,-17.0190395575
Positive,old,-10.6971114626
Positive,creek,-15.8491145561
Positive,crowd,-14.2116846355
Positive,crowe,-14.1610585624
Positive,macabre,-16.4340770568
Positive,easy,-12.4340770568
Positive,crown,-16.2116846355
Positive,topping,-16.2116846355
Positive,sure,-11.3047940399
Positive,warring,-18.0190395575
Positive,creep,-16.0190395575
Positive,enemies,-15.8491145561
Positive,comeuppance,-17.0190395575
Positive,for,-6.98940722949
Positive,bottom,-14.5596079389
Positive,chabert,-18.0190395575
Positive,inhuman,-17.0190395575
Positive,fox,-13.3466142156
Positive,creative,-13.9315767163
Positive,witty,-13.237679844
Positive,foe,-17.4340770568
Positive,fog,-17.0190395575
Positive,uma,-14.9315767163
Positive,scarier,-16.2116846355
Positive,palatable,-16.6971114626
Positive,shakes,-16.6971114626
Positive,yorks,-16.6971114626
Positive,cheadle,-16.0190395575
Positive,shifting,-16.2116846355
Positive,starring,-12.9529503671
Positive,losing,-14.3185998394
Positive,memorable,-12.4798807464
Positive,shaken,-16.4340770568
Positive,transcends,-16.0190395575
Positive,lions,-15.8491145561
Positive,dollars,-14.1610585624
Positive,citizens,-15.0190395575
Positive,o,-14.4340770568
Positive,despair,-15.3185998394
Positive,kilgore,-16.6971114626
Positive,slightly,-12.7336373387
Positive,nixon,-15.4340770568
Positive,raised,-14.1610585624
Positive,tyrell,-17.0190395575
Positive,facility,-16.4340770568
Positive,maxwell,-17.4340770568
Positive,marshall,-14.5596079389
Positive,honeymoon,-16.4340770568
Positive,son,-11.8193672127
Positive,respectable,-15.6971114626
Positive,beings,-14.7711120441
Positive,magazines,-16.4340770568
Positive,raises,-15.0190395575
Positive,wrap,-16.2116846355
Positive,shoots,-15.1121489619
Positive,federal,-15.4340770568
Positive,fabric,-15.6971114626
Positive,waits,-16.4340770568
Positive,suffice,-15.3185998394
Positive,halle,-16.6971114626
Positive,raped,-15.1121489619
Positive,humorous,-13.7711120441
Positive,joseph,-14.7711120441
Positive,greatness,-14.6267221348
Positive,jane,-13.5927748028
Positive,call,-12.4340770568
Positive,halls,-16.0190395575
Positive,launching,-17.4340770568
Positive,happy,-12.3751833678
Positive,insurrection,-14.8491145561
Positive,8mm,-17.4340770568
Positive,fascination,-14.8491145561
Positive,forming,-17.4340770568
Positive,oneliner,-17.0190395575
Positive,melanie,-15.5596079389
Positive,understandable,-15.3185998394
Positive,palmetto,-15.8491145561
Positive,congratulations,-17.4340770568
Positive,silliness,-17.0190395575
Positive,masquerading,-16.6971114626
Positive,whove,-16.6971114626
Positive,devices,-15.4340770568
Positive,epps,-16.4340770568
Positive,complications,-16.6971114626
Positive,lays,-15.6971114626
Positive,mighty,-14.6971114626
Positive,passenger,-16.2116846355
Positive,juvenile,-16.2116846355
Positive,later,-11.6703114033
Positive,liberal,-15.8491145561
Positive,nicholsons,-16.0190395575
Positive,barrymore,-14.3751833678
Positive,implications,-16.2116846355
Positive,tournament,-18.0190395575
Positive,textbook,-16.6971114626
Positive,proves,-13.1121489619
Positive,exist,-13.8897565406
Positive,dealer,-15.2116846355
Positive,negotiations,-16.2116846355
Positive,eloi,-16.6971114626
Positive,lees,-15.6971114626
Positive,eventual,-15.8491145561
Positive,floor,-13.4043297134
Positive,zane,-14.7711120441
Positive,actor,-11.2979403688
Positive,uttered,-16.2116846355
Positive,flood,-16.6971114626
Positive,republic,-15.5596079389
Positive,ambitious,-14.6971114626
Positive,superfluous,-16.2116846355
Positive,roll,-13.9315767163
Positive,disastrously,-16.6971114626
Positive,intend,-16.6971114626
Positive,twentyfive,-17.0190395575
Positive,models,-15.5596079389
Positive,intimate,-15.8491145561
Positive,transported,-16.2116846355
Positive,class,-12.7522530168
Positive,deathbed,-16.4340770568
Positive,invested,-16.2116846355
Positive,miranda,-15.8491145561
Positive,rolling,-15.0190395575
Positive,hurt,-13.7336373387
Positive,explosions,-14.3751833678
Positive,loren,-16.6971114626
Positive,shootout,-17.0190395575
Positive,spader,-16.4340770568
Positive,glass,-15.0190395575
Positive,warm,-14.0190395575
Positive,time,-9.14713431988
Positive,push,-17.0190395575
Positive,quantity,-17.0190395575
Positive,inc,-17.4340770568
Positive,wellcrafted,-16.6971114626
Positive,childs,-14.9315767163
Positive,furry,-18.0190395575
Positive,chain,-14.5596079389
Positive,whoever,-16.4340770568
Positive,reviewers,-15.4340770568
Positive,crocodile,-18.0190395575
Positive,theaters,-13.5927748028
Positive,nephew,-16.2116846355
Positive,bandits,-15.8491145561
Positive,chair,-14.9315767163
Positive,muppet,-15.8491145561
Positive,hole,-15.1121489619
Positive,ballet,-16.0190395575
Positive,uneven,-15.3185998394
Positive,william,-12.7336373387
Positive,religion,-13.9315767163
Positive,rousing,-15.1121489619
Positive,obsessively,-18.0190395575
Positive,lara,-16.6971114626
Positive,carpenters,-17.4340770568
Positive,macho,-15.4340770568
Positive,veterans,-17.0190395575
Positive,pei,-15.8491145561
Positive,recipient,-17.0190395575
Positive,busy,-14.9315767163
Positive,jerk,-15.1121489619
Positive,recipe,-17.0190395575
Positive,smalltime,-16.0190395575
Positive,sweetback,-14.2116846355
Positive,choice,-13.0648432471
Positive,embark,-17.4340770568
Positive,gloomy,-16.2116846355
Positive,ghostbusters,-17.0190395575
Positive,stays,-14.6971114626
Positive,fullest,-16.0190395575
Positive,exact,-14.4954776015
Positive,minute,-13.9746454382
Positive,tear,-15.6971114626
Positive,minnie,-14.6971114626
Positive,leave,-12.3466142156
Positive,solved,-16.4340770568
Positive,coincidences,-17.4340770568
Positive,subway,-16.6971114626
Positive,team,-12.2508552328
Positive,loads,-17.0190395575
Positive,unaware,-15.5596079389
Positive,prevent,-14.8491145561
Positive,spiritual,-14.5596079389
Positive,accomplishment,-15.2116846355
Positive,occurrence,-16.6971114626
Positive,insignificant,-16.2116846355
Positive,attic,-16.6971114626
Positive,sigh,-17.0190395575
Positive,sign,-14.0648432471
Positive,erotic,-14.7711120441
Positive,shirts,-17.4340770568
Positive,anaconda,-17.0190395575
Positive,camerawork,-15.5596079389
Positive,educate,-17.4340770568
Positive,essence,-14.6267221348
Positive,jovovich,-16.6971114626
Positive,jeopardy,-17.0190395575
Positive,celebrated,-17.0190395575
Positive,reminiscent,-13.9746454382
Positive,extraterrestrial,-16.0190395575
Positive,freaks,-16.2116846355
Positive,falling,-13.8897565406
Positive,crashing,-17.0190395575
Positive,boost,-16.2116846355
Positive,unintentionally,-16.2116846355
Positive,drafted,-16.6971114626
Positive,jury,-16.6971114626
Positive,honour,-16.2116846355
Positive,funeral,-15.3185998394
Positive,concepts,-15.4340770568
Positive,lange,-17.4340770568
Positive,understanding,-13.8491145561
Positive,guise,-17.0190395575
Positive,yards,-18.0190395575
Positive,address,-16.4340770568
Positive,alone,-12.4340770568
Positive,langs,-16.2116846355
Positive,momentous,-17.0190395575
Positive,benson,-16.2116846355
Positive,terrence,-15.8491145561
Positive,mafioso,-16.6971114626
Positive,accomplishes,-16.0190395575
Positive,brilliant,-12.1735495066
Positive,studied,-16.4340770568
Positive,commonly,-17.4340770568
Positive,cusack,-13.7336373387
Positive,accomplished,-14.6267221348
Positive,ineffective,-16.0190395575
Positive,myers,-13.9315767163
Positive,studies,-15.3185998394
Positive,unappealing,-17.4340770568
Positive,bearable,-16.6971114626
Positive,concealed,-16.2116846355
Positive,engineer,-16.2116846355
Positive,tasks,-16.0190395575
Positive,love,-10.041759634
Positive,griffiths,-15.1121489619
Positive,prefer,-15.4340770568
Positive,logical,-15.4340770568
Positive,bloody,-14.0648432471
Positive,marvelous,-15.0190395575
Positive,fake,-14.4954776015
Positive,relating,-17.0190395575
Positive,sky,-13.6267221348
Positive,darnell,-18.0190395575
Positive,crammed,-17.4340770568
Positive,cocktail,-17.4340770568
Positive,working,-12.6096486214
Positive,positive,-14.4954776015
Positive,angry,-13.6971114626
Positive,tightly,-16.2116846355
Positive,charlies,-17.4340770568
Positive,wood,-14.4340770568
Positive,opposed,-15.4340770568
Positive,wondering,-14.4954776015
Positive,films,-9.14252261097
Positive,scope,-16.0190395575
Positive,wicked,-15.3185998394
Positive,introducing,-16.0190395575
Positive,bmovies,-16.6971114626
Positive,afford,-16.2116846355
Positive,apparent,-13.7336373387
Positive,reprise,-17.0190395575
Positive,visual,-12.4340770568
Positive,ignorant,-16.0190395575
Positive,virtue,-17.0190395575
Positive,dragons,-17.0190395575
